CMDLINE python pic_vector_optimized.py
MEM 1.972656 1772915800.9565
MEM 33.425781 1772915801.0569
MEM 52.152344 1772915801.1570
MEM 62.273438 1772915801.2575
MEM 71.699219 1772915801.3578
MEM 92.589844 1772915801.4585
MEM 139.160156 1772915801.5591
MEM 116.777344 1772915801.6597
MEM 116.777344 1772915801.7600
MEM 114.644531 1772915801.8604
MEM 126.769531 1772915801.9611
MEM 143.335938 1772915802.0614
MEM 109.476562 1772915802.1621
MEM 115.046875 1772915802.2626
MEM 116.136719 1772915802.3633
MEM 129.441406 1772915802.4636
MEM 145.445312 1772915802.5641
MEM 118.453125 1772915802.6644
MEM 114.156250 1772915802.7649
MEM 116.179688 1772915802.8652
MEM 114.105469 1772915802.9657
MEM 120.910156 1772915803.0661
MEM 73.597656 1772915803.1666
